,Date,Positive,Neutral,Negative,Final Sentiment
0,2000-02-15,0.39827558398246765,0.5855152010917664,0.016209285706281662,neutral
1,2000-02-17,0.07772179692983627,0.09573522210121155,0.8265429735183716,negative
2,2000-03-24,0.18069951236248016,0.2877224087715149,0.5315781235694885,negative
3,2000-04-27,0.393267422914505,0.34637436270713806,0.26035818457603455,positive
4,2000-05-04,0.3372786045074463,0.2550164759159088,0.4077049791812897,negative
5,2000-05-17,0.04345197230577469,0.808479905128479,0.14806807041168213,neutral
6,2000-05-19,0.6549599766731262,0.13652458786964417,0.20851543545722961,positive
7,2000-05-30,0.3988650143146515,0.5696491003036499,0.031485844403505325,neutral
8,2000-06-07,0.029248042032122612,0.035063568502664566,0.9356883764266968,negative
9,2000-06-21,0.5768280029296875,0.14573709666728973,0.2774348556995392,positive
10,2000-06-22,0.4070427715778351,0.4197736978530884,0.1731835901737213,neutral
11,2000-06-27,0.7252258658409119,0.1343592405319214,0.14041481912136078,positive
12,2000-06-28,0.7002176642417908,0.16728973388671875,0.13249267637729645,positive
13,2000-07-08,0.08630223572254181,0.8915303349494934,0.022167392075061798,neutral
14,2000-07-11,0.26020607352256775,0.10178013890981674,0.6380137801170349,negative
15,2000-08-24,0.12869983911514282,0.831829845905304,0.039470333606004715,neutral
16,2000-09-07,0.44977328181266785,0.3204444646835327,0.22978220880031586,positive
17,2000-09-08,0.08029469102621078,0.06422777473926544,0.855477511882782,negative
18,2000-09-14,0.6954979300498962,0.1622953861951828,0.14220663905143738,positive
19,2000-10-10,0.5269368290901184,0.19231142103672028,0.2807518243789673,positive
20,2000-10-16,0.04333076998591423,0.06404910236597061,0.8926200866699219,negative
21,2000-10-17,0.024827387183904648,0.044881727546453476,0.9302908778190613,negative
22,2000-10-23,0.18672487139701843,0.46951937675476074,0.3437557816505432,neutral
23,2000-10-26,0.8245847821235657,0.047182369977235794,0.1282328963279724,positive
24,2000-11-01,0.13860264420509338,0.09168770909309387,0.7697096467018127,negative
25,2000-11-08,0.1291690319776535,0.7299101948738098,0.14092080295085907,neutral
26,2000-12-07,0.12977470457553864,0.044675976037979126,0.825549304485321,negative
27,2000-12-13,0.04489541053771973,0.8495437502861023,0.10556083172559738,neutral
28,2000-12-15,0.6510576009750366,0.31185001134872437,0.03709226846694946,positive
29,2000-12-21,0.18076451122760773,0.2078055888414383,0.6114299297332764,negative
30,2001-01-02,0.2923382818698883,0.08257726579904556,0.625084400177002,negative
31,2001-01-10,0.2269463986158371,0.16472776234149933,0.6083258390426636,negative
32,2001-02-02,0.032473236322402954,0.9056095480918884,0.061917178332805634,neutral
33,2001-02-09,0.18055087327957153,0.12963292002677917,0.6898162364959717,negative
34,2001-02-20,0.025086659938097,0.9201697707176208,0.05474358797073364,neutral
35,2001-02-22,0.7608199119567871,0.10748925805091858,0.13169080018997192,positive
36,2001-03-05,0.7177896499633789,0.16241633892059326,0.1197940856218338,positive
37,2001-03-07,0.047954317182302475,0.8570144176483154,0.0950312465429306,neutral
38,2001-03-13,0.021871741861104965,0.14287419617176056,0.8352540135383606,negative
39,2001-03-20,0.08665382117033005,0.4271376132965088,0.48620855808258057,negative
40,2001-03-29,0.08047559857368469,0.8672508001327515,0.05227357894182205,neutral
41,2001-04-10,0.02921028807759285,0.061584096401929855,0.9092055559158325,negative
42,2001-04-24,0.9051973819732666,0.04003341868519783,0.054769210517406464,positive
43,2001-05-03,0.47681331634521484,0.16580036282539368,0.3573863208293915,positive
44,2001-05-17,0.6813325881958008,0.10881046205759048,0.20985689759254456,positive
45,2001-05-18,0.7812753319740295,0.13516069948673248,0.0835639163851738,positive
46,2001-05-30,0.03463739529252052,0.06770272552967072,0.8976598381996155,negative
47,2001-06-07,0.09913072735071182,0.2762746512889862,0.6245945692062378,negative
48,2001-06-19,0.19803833961486816,0.40466904640197754,0.3972926735877991,neutral
49,2001-06-25,0.5216068625450134,0.4007057249546051,0.07768740504980087,positive
50,2001-07-03,0.48556065559387207,0.4583057761192322,0.05613366886973381,positive
51,2001-07-17,0.8509883284568787,0.05228601023554802,0.09672560542821884,positive
52,2001-09-11,0.3821658194065094,0.13495653867721558,0.48287761211395264,negative
53,2001-09-20,0.17367129027843475,0.04192902892827988,0.784399688243866,negative
54,2001-09-26,0.4385438561439514,0.08826271444559097,0.4731934070587158,negative
55,2001-10-03,0.5033864378929138,0.0523863285779953,0.4442272186279297,positive
56,2001-10-17,0.16032883524894714,0.759678840637207,0.07999232411384583,neutral
57,2001-10-23,0.893730103969574,0.056878507137298584,0.04939140006899834,positive
58,2001-11-02,0.7641327381134033,0.21882785856723785,0.017039312049746513,positive
59,2001-11-08,0.01055043563246727,0.02845124714076519,0.9609982967376709,negative
60,2001-11-14,0.14753013849258423,0.8371272683143616,0.015342609956860542,neutral
61,2001-11-15,0.05053592845797539,0.04099680855870247,0.9084672927856445,negative
62,2001-11-30,0.03278125450015068,0.8804863095283508,0.08673246949911118,neutral
63,2001-12-10,0.10877583175897598,0.7614909410476685,0.12973320484161377,neutral
64,2001-12-18,0.21182146668434143,0.7377681136131287,0.05041046813130379,neutral
65,2002-01-03,0.04177681729197502,0.05105629563331604,0.9071668386459351,negative
66,2002-01-14,0.2432008683681488,0.731587290763855,0.025211866945028305,neutral
67,2002-01-23,0.023690897971391678,0.06226736679673195,0.9140417575836182,negative
68,2002-02-05,0.02878677286207676,0.3920959532260895,0.5791172981262207,negative
69,2002-02-11,0.8809279203414917,0.0905432254076004,0.028528830036520958,positive
70,2002-02-14,0.800963819026947,0.12305671721696854,0.07597952336072922,positive
71,2002-02-25,0.2039048820734024,0.2688290774822235,0.5272660255432129,negative
72,2002-02-28,0.089304119348526,0.8457003235816956,0.06499558687210083,neutral
73,2002-03-05,0.21482010185718536,0.2142588198184967,0.5709210634231567,negative
74,2002-03-12,0.7497248649597168,0.10224983841180801,0.148025244474411,positive
75,2002-03-14,0.05198289453983307,0.8146745562553406,0.13334256410598755,neutral
76,2002-03-20,0.8982840180397034,0.03320321440696716,0.06851274520158768,positive
77,2002-03-21,0.702070415019989,0.23238758742809296,0.065542072057724,positive
78,2002-03-22,0.7703432440757751,0.13926881551742554,0.09038788825273514,positive
79,2002-03-26,0.27934515476226807,0.7076073288917542,0.01304749958217144,neutral
80,2002-04-05,0.012442306615412235,0.03057498298585415,0.9569827318191528,negative
81,2002-04-15,0.02588946744799614,0.9305610060691833,0.04354952275753021,neutral
82,2002-04-29,0.18677166104316711,0.14234822988510132,0.6708800792694092,negative
83,2002-05-03,0.07066191732883453,0.6473372578620911,0.2820008099079132,neutral
84,2002-05-09,0.6507611870765686,0.27882450819015503,0.070414237678051,positive
85,2002-05-10,0.63214510679245,0.14285027980804443,0.22500461339950562,positive
86,2002-05-17,0.16452278196811676,0.072500079870224,0.7629770636558533,negative
